source,target,value,tag
CypherPotato,Maniero,2,.net
Vinicius Brasil,Maniero,13,.net
César Alves,Comunidade,12,android
danielsmith,Comunidade,180,android
felipe.rce,Comunidade,15,android
Guilherme,Comunidade,2,android
War Lock,Comunidade,66,android
Henrique Mendes,Leonardo Dias,0,android
Boneco Sinforoso,ramaral,10,android
danielsmith,ramaral,143,android
Edson Santos,ramaral,19,android
Éowyn,ramaral,6,android
Henrique Mendes,ramaral,12,android
Mateus Carvalho,ramaral,12,android
Thiago Luiz Domacoski,ramaral,6,android
Tiago Coelho,ramaral,2,android
viana,ramaral,4,android
Vitor Mendanha,ramaral,105,android
Guilherme,rsicarelli,174,android
Thiago Luiz Domacoski,Thiago Luiz Domacoski,33,android
Henrique Mendes,viana,4,android
Paiva,viana,3,android
veroneseComS,Eduardo Vargas,5,angular
wladyband,Eduardo Vargas,39,angular
Wallace Maxters,Comunidade,1,angularjs
GustavoSevero,OnoSendai,0,angularjs
Mariana,Barbetta,9,asp.net-mvc
Harry,Harry,17,asp.net-mvc
AndreeH,Leonel Sanches da Silva,254,asp.net-mvc
Érik Thiago,Leonel Sanches da Silva,1,asp.net-mvc
Harry,Leonel Sanches da Silva,5,asp.net-mvc
Rafael Barbosa,Leonel Sanches da Silva,54,asp.net-mvc
Randrade,Leonel Sanches da Silva,1,asp.net-mvc
Ryan Santos,Leonel Sanches da Silva,12,asp.net-mvc
Master JR,Victor Laio,20,asp.net-mvc
Rod,Comunidade,3,asp.net-mvc-5
pnet,Leonel Sanches da Silva,0,asp.net-mvc-6
Randrade,Leonel Sanches da Silva,13,asp.net-mvc-7
Rod,Leonel Sanches da Silva,96,asp.net-mvc-8
pnet,Miguel Angelo,1,asp.net-mvc-9
Maniero,Comunidade,0,c
André,Lucas Trigueiro,4,c
Alex,Maniero,1,c
André,Maniero,0,c
Fábio Morais,Maniero,1,c
gato,Maniero,0,c
jlHertel,Maniero,6,c
Leonardo,Maniero,0,c
rafael marques,Maniero,1,c
RafNP,Maniero,1,c
Vinicius,Maniero,0,c
Vitor Gonçalves,Maniero,0,c
Vitor Matos,Maniero,3,c
Gabriel Vinicius,pmg,3,c
José Cunha,pmg,11,c
Leonardo,pmg,7,c
flavio,Victor Stafusa,1,c
rafael marques,Victor Stafusa,1,c
Amadeu Antunes,Amadeu Antunes,716,c#
CesarMiguel,CesarMiguel,1,c#
pnet,CesarMiguel,0,c#
Dorathoto,Comunidade,5,c#
Emerson,Comunidade,5,c#
Érik Thiago,Comunidade,11,c#
gato,Comunidade,16,c#
Jedaias Rodrigues,Comunidade,11,c#
Jonathan Barcela,Comunidade,1,c#
Leonardo,Comunidade,152,c#
Marconi,Comunidade,1,c#
Matheus Saraiva,Comunidade,6,c#
pnet,Comunidade,2,c#
Robss70,Comunidade,8,c#
Thomas Erich Pimentel,Comunidade,1,c#
Vinícius,Comunidade,103,c#
Vinicius Brasil,Comunidade,8,c#
Ricardo,dcastro,3,c#
pnet,Diego Rafael Souza,9,c#
pnet,Gabriel Coletta,5,c#
hard123,George Wurthmann,1,c#
pnet,George Wurthmann,3,c#
hard123,hard123,85,c#
Marlon Pereira,João Martins,0,c#
pnet,João Martins,6,c#
Matheus Miranda,Leandro Angelo,3,c#
Aesir,Leonel Sanches da Silva,1,c#
Alan Almeida,Leonel Sanches da Silva,4,c#
Alexandre Previatti,Leonel Sanches da Silva,0,c#
allan.egidio,Leonel Sanches da Silva,7,c#
Diego Zanardo,Leonel Sanches da Silva,7,c#
