source,target,value,tag
CypherPotato,Maniero,9,.net
Vinicius Brasil,Maniero,6,.net
César Alves,Comunidade,5,android
daniel12345smith,Comunidade,8,android
felipe.rce,Comunidade,6,android
Guilherme,Comunidade,5,android
War Lock,Comunidade,6,android
felipe.rce,felipe.rce,5,android
Flávio,Flávio,5,android
GuiDupas,GuiDupas,5,android
Guilherme,Guilherme,5,android
Henrique Mendes,Henrique Mendes,10,android
Henrique Mendes,Leonardo Dias,8,android
Leonardo Otto,Leonardo Otto,5,android
Boneco Sinforoso,ramaral,7,android
daniel12345smith,ramaral,10,android
Edson Santos,ramaral,6,android
Éowyn,ramaral,5,android
Henrique Mendes,ramaral,5,android
Mateus Carvalho,ramaral,5,android
Thiago Luiz Domacoski,ramaral,6,android
Tiago Coelho,ramaral,5,android
viana,ramaral,6,android
Vitor Mendanha,ramaral,5,android
Robson,Robson,5,android
Guilherme,rsicarelli,5,android
Thiago Luiz Domacoski,Thiago Luiz Domacoski,10,android
Henrique Mendes,viana,6,android
Paiva,viana,11,android
veroneseComS,Eduardo Vargas,14,angular
wladyband,Eduardo Vargas,6,angular
Guilherme Nunes,Guilherme Nunes,6,angular
RRV,RRV,5,angular
veroneseComS,veroneseComS,17,angular
Wallace Maxters,Comunidade,9,angularjs
GustavoSevero,OnoSendai,5,angularjs
Wallace Maxters,Wallace Maxters,8,angularjs
Mariana,Barbetta,5,asp.net-mvc
Harry,Harry,7,asp.net-mvc
AndreeH,Leonel Sanches da Silva,7,asp.net-mvc
Érik Thiago,Leonel Sanches da Silva,6,asp.net-mvc
Harry,Leonel Sanches da Silva,8,asp.net-mvc
Rafael Barbosa,Leonel Sanches da Silva,6,asp.net-mvc
Randrade,Leonel Sanches da Silva,10,asp.net-mvc
Ryan Santos,Leonel Sanches da Silva,5,asp.net-mvc
Master JR,Victor Laio,5,asp.net-mvc
Rod,Comunidade,7,asp.net-mvc-5
pnet,Leonel Sanches da Silva,7,asp.net-mvc-6
Randrade,Leonel Sanches da Silva,5,asp.net-mvc-7
Rod,Leonel Sanches da Silva,16,asp.net-mvc-8
pnet,Miguel Angelo,5,asp.net-mvc-9
Brumazzi DB,Brumazzi DB,5,c
Maniero,Comunidade,5,c
André,Lucas Trigueiro,5,c
Alex,Maniero,5,c
André,Maniero,6,c
Fábio Morais,Maniero,7,c
gato,Maniero,7,c
jlHertel,Maniero,5,c
Leonardo,Maniero,6,c
Maniero,Maniero,30,c
rafael marques,Maniero,6,c
RafNP,Maniero,6,c
Vinicius,Maniero,5,c
Vitor Gonçalves,Maniero,6,c
Vitor Matos,Maniero,9,c
Gabriel Vinicius,pmg,9,c
José Cunha,pmg,5,c
Leonardo,pmg,8,c
flavio,Victor Stafusa,5,c
rafael marques,Victor Stafusa,5,c
Amadeu Antunes,Amadeu Antunes,5,c#
BrunoLM,BrunoLM,9,c#
CesarMiguel,CesarMiguel,6,c#
pnet,CesarMiguel,6,c#
Dorathoto,Comunidade,8,c#
Emerson,Comunidade,5,c#
Érik Thiago,Comunidade,12,c#
gato,Comunidade,5,c#
Jedaias Rodrigues,Comunidade,9,c#
Jonathan Barcela,Comunidade,5,c#
Leonardo,Comunidade,8,c#
Marconi,Comunidade,5,c#
Matheus Saraiva,Comunidade,9,c#
pnet,Comunidade,19,c#
Robss70,Comunidade,5,c#
Thomas Erich Pimentel,Comunidade,6,c#
Vinícius,Comunidade,5,c#
Vinicius Brasil,Comunidade,7,c#
Cyberlacs,Cyberlacs,5,c#
Ricardo,dcastro,5,c#
Denis,Denis,7,c#
pnet,Diego Rafael Souza,6,c#
Dorathoto,Dorathoto,9,c#
pnet,Gabriel Coletta,7,c#
hard123,George Wurthmann,5,c#
pnet,George Wurthmann,5,c#
hard123,hard123,10,c#
Marlon Pereira,João Martins,5,c#
pnet,João Martins,6,c#
Matheus Miranda,Leandro Angelo,5,c#
Leonardo,Leonardo,13,c#
Leonardo Bonetti,Leonardo Bonetti,7,c#
Aesir,Leonel Sanches da Silva,6,c#
Alan Almeida,Leonel Sanches da Silva,7,c#
Alexandre Previatti,Leonel Sanches da Silva,5,c#
allan.egidio,Leonel Sanches da Silva,5,c#
Diego Zanardo,Leonel Sanches da Silva,12,c#
Dorathoto,Leonel Sanches da Silva,17,c#
Edmar Munhoz,Leonel Sanches da Silva,6,c#
Érik Thiago,Leonel Sanches da Silva,14,c#
Fabio Souza,Leonel Sanches da Silva,5,c#
Furlan,Leonel Sanches da Silva,7,c#
Guilherme Ferreira,Leonel Sanches da Silva,5,c#
Harry,Leonel Sanches da Silva,9,c#
Igor Macedo,Leonel Sanches da Silva,5,c#
ihavenokia,Leonel Sanches da Silva,5,c#
JamesTK,Leonel Sanches da Silva,5,c#
Jedaias Rodrigues,Leonel Sanches da Silva,12,c#
Joao Paulo,Leonel Sanches da Silva,8,c#
Kelly Soares,Leonel Sanches da Silva,8,c#
LINQ,Leonel Sanches da Silva,5,c#
Luiz Negrini,Leonel Sanches da Silva,16,c#
Matheus Miranda,Leonel Sanches da Silva,5,c#
Matheus Silva,Leonel Sanches da Silva,8,c#
Novato,Leonel Sanches da Silva,7,c#
Pablo Tondolo de Vargas,Leonel Sanches da Silva,8,c#
pnet,Leonel Sanches da Silva,24,c#
Rafael Barbosa,Leonel Sanches da Silva,9,c#
Randrade,Leonel Sanches da Silva,5,c#
Renan Carlos,Leonel Sanches da Silva,8,c#
Ricardo,Leonel Sanches da Silva,11,c#
Rod,Leonel Sanches da Silva,21,c#
Ryan Santos,Leonel Sanches da Silva,7,c#
Simão Lopes,Leonel Sanches da Silva,8,c#
Vinícius,Leonel Sanches da Silva,27,c#
Guilherme Padovam,LINQ,5,c#
Italo Rodrigo,LINQ,12,c#
Jedaias Rodrigues,LINQ,6,c#
Junior Guerreiro,LINQ,6,c#
Leonardo Bonetti,LINQ,6,c#
LINQ,LINQ,7,c#
Marco Souza,LINQ,7,c#
pnet,LINQ,22,c#
Renan Carlos,LINQ,6,c#
Thomas Erich Pimentel,LINQ,8,c#
Tozzi,LINQ,5,c#
Wallace Maxters,LINQ,7,c#
